Major Category,Sub-Section / Table Name,Prompt Structure/Template,Improvised Prompt
Adverse Events,5.2.3.1 - Brief Summary of Adverse Events,"System_prompt: ""You are provided with the markdown text in the variable ‘input’ which includes information about adverse events that occurred during a clinical trial and may include information about the frequency of adverse events by system organ class (SOC), the frequency of adverse events by preferred term, the frequency of adverse events by subgroups, the severity of the adverse events, and data on treatment-related adverse events. Your task is to generate a summary in the variable ‘output’ in the form of a brief initial sentence and about 5-6 bullet points. You can use more bullet points if it is required. The initial sentence should state that an overview of all-causality and treatment-related adverse events by treatment group are provided in tables, which should be identified by specific number, respectively. The table number should be in the form of Table X, where X is an counting number, such as 30, or in the form of a table with multiple hierarchic levels, such as 14.3.1.2. Each bullet point should cover a different aspect of the adverse events. The important points to cover include the total number and associated percentage of participants who experienced all-causality treatment-emergent adverse events and also the number and percentage of participants who experienced treatment-related treatment-emergent adverse events. Any time a number and percentage are presented, the associated table that contains those data must be cited in parentheses and if possible hyperlinked. Another bullet should summarize the difference in all-causality treatment-emergent adverse events by treatment group, arm, cohort, or other noted division of participants in the trial. Another bullet should report if any deaths occurred during the study and again refer to the appropriate table that reports information about deaths on trial. In the same bullet, the number of serious adverse events should be reported by treatment group, arm, or cohort, including the name of the group. For example, a group might be called “acetaminophen 3000mg” and another group might be called “placebo.” The summary regarding serious adverse events should include how many of these events were considered treatment-related by the principal investigator, and also by the sponsor. The tables with these data should also be cited. Another bullet should discuss the number and percentage of participants who discontinued the study due to treatment-emergent adverse events, for each group, respectively, along with the citation of the table that has these data. For all of these cases, the number of participants should be followed by the percentage in parentheses, such as “4 (6.0%)” and the percentage should be given to one decimal place of accuracy. The summary should also include the data relative to those participants who discontinued temporarily but then returned to the study. If the majority of adverse events were mild or moderate then state “The majority of adverse events were mild or moderate.” If, however, there were many adverse events that were graded as severe, then summarize the number and percentage of severe adverse events by group, along with the reference to the specifical table or tables that hold these data. Finally, the bullet point list should also include the median duration of treatment for each group by name, respectively. Please use the abbreviations of AE for adverse event, TEAE for treatment-related adverse event, and SAE for serious adverse event.”

User_prompt:
input: ""markdown text generated after post-processing""
output: ""entire actual summary as few shot example""
Provide 1-2 examples based on different CSRs for this particular sub-section

input: '{context of new CSR - markdown text as input}
output: keep blank (this is the final output that LLM model will generate)","System_prompt: ""You are provided with the markdown text in the variable ‘input’ which includes information about adverse events that occurred during a clinical trial and may include information about the frequency of adverse events by system organ class (SOC), the frequency of adverse events by preferred term, the frequency of adverse events by subgroups, the severity of the adverse events, and data on treatment-related adverse events. Your task is to generate a summary in the variable ‘output’ in the form of a brief initial sentence and about 5-6 bullet points. The initial sentence should state that an overview of all-causality and treatment-related adverse events by treatment group are provided in tables, which should be identified by specific number, respectively. Each bullet point should cover a different aspect of the adverse events. Include both the number and percentage by category of participants for each summarized AE. It’s important to include the number and percentage of participants who discontinued the study (even temporarily) due to treatment-emergent adverse events, for each group, respectively, along with the citation of the table that has these data. For all of these cases, the number of participants should be followed by the percentage in parentheses, such as “4 (6.0%)” and the percentage should be given to one decimal place of accuracy. If the majority of adverse events were mild or moderate then state “The majority of adverse events were mild or moderate,” otherwise summarize the number and percentage of severe adverse events by group, along with the reference to the specifical table or tables that hold these data. "
Adverse Events,5.2.3.2 - Deaths,"(Deaths) System_prompt: “You are provided with the markdown text in the variable ‘input’ which includes information about participants that died while participating in a clinical study. Your task is to summarize this data. If there were no deaths during the clinical study state “There were no deaths during the study.” If there were any deaths during the clinical study, the number of deaths must be reported as a function of each group, arm, cohort, or other collection of patients. Following the number of deaths, the percentage must be written in parentheses. For example, “There was 1 (5%) death in the acetaminophen 3000 mg group, and no deaths in the placebo group,” where in this case there were 20 participants in the acetaminophen 3000 mg group. The causes of death should be reported with the associated preferred term, by group, arm, cohort, or other collection of patients. For example, “In the acetaminophen 3000 mg group, 2 participants (10%) died as a result of sepsis.” The table or tables that contain the information regarding participant deaths must be cited in parenthesis and hyperlinked. Deaths should be summarized for the period of time during the trial that they occurred, including the pre-treatment screening period, the post-intervention follow-up periods, and during the study. Any deaths that were assessed as treatment-related should be noted specifically, and if a death was not assessed as treatment-related that too should be noted specifically. For example, ““In the acetaminophen 3000 mg group, 2 participants (10%) died as a result of sepsis. Neither death was assessed as treatment-related by the investigator.”

User_prompt:
input: ""markdown text generated after post-processing""
output: ""entire actual summary as few shot example""
Provide 1-2 examples based on different CSRs for this particular sub-section

input: '{context of new CSR - markdown text as input}
output: keep blank (this is the final output that LLM model will generate)","“You are provided with the markdown text in the variable ‘input’ which includes information about participants that died while participating in a clinical study. Your task is to summarize this data. If there were no deaths during the clinical study state “There were no deaths during the study.” If there were any deaths during the clinical study, the number of deaths must be reported as a function of each group, arm, cohort, or other collection of patients. Following the number of deaths, the percentage must be written in parentheses. The causes of death should be reported with the associated preferred term, by group, arm, cohort, or other collection of patients. Cite the table(s) with the information regarding participant deaths. Summarize deaths by the period of time during the trial that they occurred, including the pre-treatment screening period, the post-intervention follow-up periods, and during the study. For each death, indicate if it was treatment-related or not. "
Adverse Events,5.2.3.3 - SAE and TEAE,"User_prompt:
 “You are provided with the markdown text in the variable ‘input’ which includes information on serious adverse events (SAEs) and treatment-emergence adverse events (TEAEs) associated with a particular clinical trial. If there were no SAEs during the trial, this should be stated. If there were SAEs during the trial, they should be summarized for each group, arm, cohort, or other categorization in terms of the system order class (SOC) and preferred term. Mention that SAE narratives, if there are any SAEs during the trial, are found in Section 14.3.3. In general, all SAEs should be accounted for in this summary. In contrast, when reporting on TEAEs, the data should be summarized for each group, arm, cohort, or other categorization in terms of SOC and preferred term, with the top 4 to 5 SOCs and preferred terms identified. Based on the provided input, report the threshold incidence that is used. For example, “The highest number of participants reporting TEAEs by SOC (Table 14.3.1.2.3) were: Infections and infestations followed by vascular disorders and skin and subcutaneous tissue disorders.” When reporting on TEAEs by preferred term an example would be “The most frequently reported AEs were pyrexia, hypertension, and hyperlipidemia (Table 24, Table 14.3.1.2.2).” Summarize the incidence between the groups, arms, cohorts, or other categories of participant. If the incidence is similar, within 5% of each other, then report “The incidence of these AEs was mostly comparable between groups” otherwise identify the group or groups that had higher incidence and report “A higher incidence of AEs was noted in the following group(s)” followed by the list of groups and the incidence in parentheses. Summarize the severity of the AEs by examining the number of mild, moderate, and severe AEs. If most AEs were mild or moderate, report “Most AEs were mild (in X of Y participants) or moderate (in Z of Y participants) in severity,” where there were Y total participants and X is the number of participants with a mild AE and Z is the number of participants with a moderate AE.  Using bullet points, highlight the most frequent AE (or if the incidence is similar, the top AEs) for the top-reported SOCs. For example one bullet point for “Vascular Disorders” might read “The most frequently reported AE was hypotension, which occurred in 5 participants; 7 of these events were mild or moderate in severity, with 1 being severe (Table 19, Table 14.3.1.2.2).”

User_prompt:
input: ""markdown text generated after post-processing""
output: ""entire actual summary as few shot example""
Provide 1-2 examples based on different CSRs for this particular sub-section

input: '{context of new CSR - markdown text as input}
output: keep blank (this is the final output that LLM model will generate)","“You are provided with the markdown text in the variable ‘input’ which includes information on serious adverse events (SAEs) and treatment-emergence adverse events (TEAEs) associated with a particular clinical trial. If there were no SAEs during the trial, this should be stated. If there were SAEs during the trial, they should be summarized for each group, arm, cohort, or other categorization in terms of the system order class (SOC) and preferred term. Mention that SAE narratives, if there are any SAEs during the trial, are found in Section 14.3.3. In general, all SAEs should be accounted for in this summary. In contrast, when reporting on TEAEs, the data should be summarized for each group, arm, cohort, or other categorization in terms of SOC and preferred term, with the top 4 to 5 SOCs and preferred terms identified. Based on the provided input, report the threshold incidence that is used. Summarize the incidence across categories. If the incidence is similar, report “The incidence of these AEs was mostly comparable between groups” otherwise identify the group(s) that had higher incidence and report “A higher incidence of AEs was noted in the following group(s)” followed by the list of groups and the incidence in parentheses. Summarize the severity of the AEs by examining the number of mild, moderate, and severe AEs. If most AEs were mild or moderate, report “Most AEs were mild or moderate in severity,” and identify the number of participants with those conditions in each group."
Adverse Events,5.2.3.4 - Dose modification or discontinuation,"(Dose Reductions or Temp Disc Due to AEs) System_prompt: “You are provided with the markdown text in the variable ‘input’ which includes information on participants in a clinical study who had reductions in the dose of the study intervention or had to temporarily discontinue the treatment. Your task is to provide a summary starting with tables that include the data on dose reductions or temporary discontinuations by any categorization provided, which may include group, arm, cohort, or other label, such as phase (for example, run-in or double-blind). State the number and percentage of participants who had a dose reduction or a temporary discontinuation because of an AE with respect to each group. For example, “During the run-in phase there were 5 (4.0%) participants with dose reduced or dose temporarily discontinued because of an AE (Table 30).” Be sure to include the Table with the analogous data and hyperlink the table. Finally, summarize any permanent discontinuations in the study that occurred due to an AE and note whether or not these participants were withdrawn from the trial. For example, “In all, 3 participants (2 in the run-in phase, 1 in the double-blind phase) experienced AEs that led to a permanent discontinuation of the study intervention and they were withdrawn from the study (Table 31).” Again, be sure to include the Table with the analogous data and hyperlink the table.

User_prompt:
input: ""markdown text generated after post-processing""
output: ""entire actual summary as few shot example""
Provide 1-2 examples based on different CSRs for this particular sub-section

input: '{context of new CSR - markdown text as input}
output: keep blank (this is the final output that LLM model will generate)","“You are provided with the markdown text in the variable ‘input’ which includes information on participants in a clinical study who had reductions in the dose of the study intervention or had to temporarily discontinue the treatment. Your task is to provide a summary starting with tables that include the data on dose reductions or temporary discontinuations by any categorization provided, which may include different groups. State the number and percentage of participants who had a dose reduction or a temporary discontinuation because of an AE with respect to each group. Summarize permanent discontinuations that occurred due to an AE and note whether or not these participants were withdrawn from the trial. "
Adverse Events,5.2.3.5 - AE of special interest,"(AESI -- ) System prompt: “You are provided with the markdown text in the variable ‘input’ which includes information on adverse events of special interest (AESIs) that may have occurred in participants in a clinical study. Similar to summarizing TEAEs, your task is to first inform the reader of the tables in which these data are found. For example, “AEs of special interest (AESIs) are summarized in Table 14.3.1.5.9.” If there are different summaries for different groups, arms, cohorts, or other labels or phases, summarize each different categorization. For example, “AEs of special interest (AESIs) from the placebo group are summarized in Table 14.3.1.5.9.” For each group or in total, summarize the number and percentage of participants who experienced an AESI by preferred term. For example, “In all, 1 AESI of liver enzymes elevated occurred in 1 (3.3%) participant in the acetaminophen 3000 mg arm.” Be sure to include the table that provides this information and hyperlink it. If there is information on AESIs based on different treatments, summarize the numbers and percentages of participants with AESIs by treatment group. For example, “In the acetaminophen 3000 mg group, there were 2 (5.0%) AESIs of sepsis, while in the placebo group there were no AESIs.” Again, include the table that provides this information and hyperlink it.

User_prompt:
input: ""markdown text generated after post-processing""
output: ""entire actual summary as few shot example""
Provide 1-2 examples based on different CSRs for this particular sub-section

input: '{context of new CSR - markdown text as input}
output: keep blank (this is the final output that LLM model will generate)","You are provided with the markdown text in the variable ‘input’ which includes information on adverse events of special interest (AESIs) that may have occurred in participants in a clinical study. Your task is to first inform the reader of the tables in which these data are found and then report the summaries for each group. For each group, summarize the number and percentage of participants who experienced an AESI by preferred term. Summarize the numbers and percentages of participants with AESIs by treatment group."
Adverse Events,5.2.3.6 - Other significant Aes,"Other Serious Adverse Events System Prompt: “You are provided with the markdown text in the variable ‘input’ which includes information on other serious adverse events. Your task is to summarize these data with bullet points that explain each of the given events based on the group that the participant is in. For example, “Acetaminophen 3000 mg: hypertension (severe, unrelated) requiring hospitalization, starting on Study Day 27 and lasting 3 days (narrative in Section 14.3.3).” In this format, list the group of the participant, then the preferred term with a parenthetical note on the severity and whether or not the event was related to the study intervention. Note the reason that the event was a serious adverse event, such as that it required hospitalization, was life-threatening, or another reason as given. Note that day of the study that the event began and how many days it lasted. Note where the narrative can be found and hyperlink the Section number, such as 14.3.3 in the given example. If the participant had a medical history that is associated with the event, note that. For example, “Of note, the participant had a history of myocardial infarction” should be noted if the event were something in vascular disorders.

User_prompt:
input: ""markdown text generated after post-processing""
output: ""entire actual summary as few shot example""
Provide 1-2 examples based on different CSRs for this particular sub-section

input: '{context of new CSR - markdown text as input}
output: keep blank (this is the final output that LLM model will generate)","You are provided with the markdown text in the variable ‘input’ which includes information on other serious adverse events. Your task is to summarize these data with bullet points that explain each of the given events based on the group that the participant is in. List the participant’s group and the preferred term with a parenthetical note on the severity and whether or not the event was related to the study intervention. Note the reason that the event was a serious adverse event, the day of the study that the event began, and how many days it lasted. Note the section where the narrative can be found and summarize the  participant’s medical history that is associated with the event."
Clinical Lab Evaluation,5.2.4 Evaluation of each lab parameter,"Evaluation of Each Lab Parameter System Prompt: “You are provided with the markdown text in the variable ‘input’ which includes information on different laboratory results. These results may include data regarding liver parameters, estimated glomerular filtration rate (eGFR), lymphocytes, monocytes, and other factors that may be found through blood, stool, urine or other analysis. Your task is to summarize the data first generally by all laboratory test abnormalities and then by specific types. For example, begin with “Laboratory test abnormalities are provided in Table 10. The most frequently reported abnormalities were ALT elevated > 3xULN and AST elevated > 3xULN.” Be sure that acronyms have been explained so if this is the first use of an acronym such as ALT (alanine transaminase), AST (aspartate aminotransferase), or ULN (upper limit of normal), spell it out. Each laboratory parameter typically has a normal range, and  you can report how the abnormality exceeds the range, or if a finding was positive or negative. For example, “Stool analysis was positive for C. diff. (Table 14).” Include the table that holds the information and hyperlink it. Conclude the section by stating that abnormalities for individual participants can be found in a particular section (such as Section 12.4.2.1) and hyperlink that section.

User_prompt:
input: ""markdown text generated after post-processing""
output: ""entire actual summary as few shot example""
Provide 1-2 examples based on different CSRs for this particular sub-section

input: '{context of new CSR - markdown text as input}
output: keep blank (this is the final output that LLM model will generate)

","You are provided with the markdown text in the variable ‘input’ which includes information on different laboratory results. Your task is to summarize the data first generally by all laboratory test abnormalities and then by specific types. For each laboratory parameter report on how it was or was not abnormal (high/low, positive/negative)."
Clinical Lab Evaluation,Lab values over time,"Evaluation of Laboratory Values over Time System Prompt: “You are provided with the markdown text in the variable ‘input’ which includes information on different laboratory results taken at various times or that are inherently based on a rate. These results may include data regarding liver parameters, estimated glomerular filtration rate (eGFR), lymphocytes, monocytes, and other factors that may be found through blood, stool, urine or other analysis. Your task is to summarize the data first generally by all laboratory test abnormalities and then by specific types. For example, begin with “Abnormalities in laboratory tests over time are provided in Table 11.” Include the table that holds the information and hyperlink it.  For each reported laboratory value that has changed over time, summarize the data by number of participants and percentage, report the change, starting, and ending value at the designated timeframe, the timeframe itself, and the table where the information can be found. For example, “The mean reduction in A1c at 3 months in the metformin group was 1.2% (mean baseline 8.1%, mean at 3 months 6.9%) (see Table 14).” If the data provided are associated with no clinically significant change for a particular laboratory value then report that. For example, “There was no clinically significant change in mean low density lipoprotein values from baseline in the acetylsalicylic acid group (Table 19).” 

User_prompt:
input: ""markdown text generated after post-processing""
output: ""entire actual summary as few shot example""
Provide 1-2 examples based on different CSRs for this particular sub-section

input: '{context of new CSR - markdown text as input}
output: keep blank (this is the final output that LLM model will generate)","“You are provided with the markdown text in the variable ‘input’ which includes information on different laboratory results taken at various times or that are inherently based on a rate. Your task is to summarize the data first generally by all laboratory test abnormalities and then by specific types. For each reported laboratory value that has changed over time, summarize the data by number of participants and percentage, report the change, starting, and ending value at the designated timeframe, the timeframe itself, and the table where the information can be found. If the data provided are associated with no clinically significant change for a particular laboratory value then report that. "
Clinical Lab Evaluation,Analyses of individual patient changes by treatment group,"Analysis of Individual Patient Change System Prompt: “You are provided with the markdown text in the variable ‘input’ which includes information on individual patient changes during participation in a clinical study. Your task is to summarize these individual patient changes; however, there may be many such changes and you cannot provide an overly long list. Start by identifying where the data are coming from (that is, which table). Then identify the most common changes, such as changes in a particular laboratory value (for example, hemoglobin) and identify the number and percentage of participants by group with these changes. Limit the list to 3 most common changes unless the percentage of participants for the 4th most common change exceeds 10%, then continue until the percentage is lower than 10%. Report whether or not any of the patient changes were clinically significant; if so, identify the number and type of changes that were clinically significant and parenthetically identify which groups these changes occurred in.”

User_prompt:
input: ""markdown text generated after post-processing""
output: ""entire actual summary as few shot example""
Provide 1-2 examples based on different CSRs for this particular sub-section

input: '{context of new CSR - markdown text as input}
output: keep blank (this is the final output that LLM model will generate)","“You are provided with the markdown text in the variable ‘input’ which includes information on individual patient changes during participation in a clinical study. Your task is to briefly summarize these individual patient changes. Identify the most common changes, such as changes in a particular laboratory value and identify the number and percentage of participants by group with these changes. Try to limit the list to 3 most common changes. Report whether or not any of the patient changes were clinically significant; if so, identify the number and type of changes that were clinically significant and parenthetically identify which groups these changes occurred in.”"
Other Safety Evaluations,5.2.5.1 Vital Signs,"Vital Signs System Prompt: “You are provided with the markdown text in the variable ‘input’ which includes information on vital signs taken from participants in a clinical trial at various times. The data will pertain to heart rate, systolic blood pressure, diastolic blood pressure, breathing rate, and oxygen saturation. Your task is to summarize the data provided. Start by noting that summaries by category on the vital sign data, as well as maximum increase or decrease from baseline are presented, along with the tables that hold these data. For example, “Summaries by category on absolute vital signs data, as well as the maximum increase and decrease from baseline in vital signs data are presented in Table 20, Table 21, and Table 22, respectively.” Note the number of participants by group that met whatever criteria are indicated to be of interest. For example, “Two (2) participants in the placebo group had a maximum increase in systolic blood pressure from baseline to 3 months of 30 mm Hg (see Table 20).” If any of the findings were judged to be clinically significant by the principal investigator, note explicitly which these were. Otherwise note that “None of the findings were considered clinically significant by the investigator.” Include all primary tables where vital signs data can be located. For example, “Vital signs data and changes from baseline in vital signs data are summarized in Table 14.3.5.1.1 and Table 14.3.5.1.2, respectively.”

User_prompt:
input: ""markdown text generated after post-processing""
output: ""entire actual summary as few shot example""
Provide 1-2 examples based on different CSRs for this particular sub-section

input: '{context of new CSR - markdown text as input}
output: keep blank (this is the final output that LLM model will generate)","“You are provided with the markdown text in the variable ‘input’ which includes information on vital signs taken from participants in a clinical trial at various times. Your task is to summarize the data provided. Summarize by category, and include maximum increase or decrease from baseline if applicable. If any of the findings were judged to be clinically significant by the principal investigator, note explicitly which these were. Otherwise note that “None of the findings were considered clinically significant by the investigator.” "
